Left Elbow Angle,Right Elbow Angle,Left Shoulder Angle,Right Shoulder Angle,Left Knee Angle,Right Knee Angle,Label
0.0,0.0,0.0,0.0,0.0,0.0,tadasana.mp4
178.16975001499821,191.4226745334557,188.65110598708728,184.72001805122963,183.3143799622623,178.57328526230015,tadasana.mp4
179.55783388222213,189.61340031243526,189.6980874937484,184.46432758924362,182.85213230203325,178.6476336135121,tadasana.mp4
180.27247089703508,188.59633392213794,190.3064131850963,184.66871921709065,182.5363044072972,178.7080505916519,tadasana.mp4
180.70874912672946,187.77408759424932,190.63932854640535,184.88593830706125,182.35086192995524,178.6601516375118,tadasana.mp4
180.86120849496896,187.828127948719,190.72966362066435,184.93998546512256,182.20635960014314,178.68334561969303,tadasana.mp4
181.07507836540069,187.899469383279,190.979414558038,184.93408829597274,182.07831698676924,178.72998560508634,tadasana.mp4
181.5525345362773,188.09407927017008,191.23671396042946,184.90482407534006,181.93248404035893,178.72507918047438,tadasana.mp4
181.902653842985,188.10336344936698,191.45173591715255,184.97082530093465,181.8656755840415,178.69341849528635,tadasana.mp4
182.18093423529808,188.14348187513247,191.61203537234314,185.02502774666848,181.7838481769687,178.691955546811,tadasana.mp4
182.36446331098077,188.1345791790524,191.74163575584262,185.07297713593516,181.71348087613782,178.72316429321714,tadasana.mp4
182.42421901484124,188.08664983541487,191.79217094488956,185.20882460169182,181.64704041561964,178.76470980806164,tadasana.mp4
182.53767171684444,188.01741046898138,191.8596795039483,185.29678819231205,181.6027840847417,178.7808781396369,tadasana.mp4
182.71511944892757,187.83033687736162,191.94961811536803,185.20546065592464,181.6012571639177,178.8057080137711,tadasana.mp4
182.87645231398312,187.09313678380357,192.03703276973968,185.17584389502872,181.55327189188944,178.80991422854376,tadasana.mp4
182.9526098247491,186.49108042249563,192.11168468748255,185.20755974440704,181.5137630819225,178.819940285565,tadasana.mp4
183.00892968141352,186.2145552448443,192.15405261342713,185.18374549456271,181.47292785036552,178.8257597815604,tadasana.mp4
183.13184492781582,186.1032507058956,192.15646889284815,185.10962859235318,181.42803810084698,178.7840601265851,tadasana.mp4
183.28722256361903,186.00717391390324,192.1296342994763,185.14806531540236,181.36775973013505,178.73074776605128,tadasana.mp4
183.46615685568477,185.89013467123254,192.0923407513796,185.22160622177176,181.315803631306,178.67675584068485,tadasana.mp4
183.83811451724262,185.8657849827077,192.0884332121997,185.23860744220383,181.2381903398443,178.6366060529398,tadasana.mp4
184.32604781648925,185.85073030082899,192.08353687943145,185.287014342035,181.1904885272917,178.61632038734243,tadasana.mp4
184.76812358413676,185.82351442786307,192.07855631802505,185.3260306404584,181.17626196779696,178.60171185781337,tadasana.mp4
184.95168958690803,185.8272974510648,192.0695669101493,185.35435350389488,181.15100996263376,178.61623090220667,tadasana.mp4
185.10671034177074,185.83863074734606,192.07100644965848,185.3555822950985,181.13800202855688,178.63201383496366,tadasana.mp4
185.1436197145578,185.84321175941562,192.07041212959413,185.3623668675389,181.11255008524816,178.64639682252113,tadasana.mp4
185.1689065665205,185.8558585875733,192.08536038700728,185.36522817414726,181.12175564488072,178.66559614357408,tadasana.mp4
185.20440285375832,185.8640231019585,192.07917658664667,185.43126834950394,181.11799344445478,178.66939560679356,tadasana.mp4
185.2803981050317,185.82207447930543,192.0970446937105,185.51486894667946,181.11425017385287,178.6774900124084,tadasana.mp4
185.35623369318878,185.76669695718448,192.09860978731427,185.59659093487414,181.12329309923038,178.70265993828951,tadasana.mp4
185.00793209046586,185.85595703274473,192.03909295365253,185.4969684930457,181.098341220536,178.69106224961305,tadasana.mp4
184.68714552969158,185.81314608918572,191.98525930121687,185.40548185694698,181.09095811763453,178.69935037769764,tadasana.mp4
184.43972834288647,185.8676622072236,191.96843125162775,185.2182126322442,181.10025217602717,178.72112163551128,tadasana.mp4
184.21197582889403,185.88989707579685,191.96320392823952,185.11736206756387,181.099495613452,178.73695007180504,tadasana.mp4
184.24918914212344,185.91482821131726,192.019456118513,185.10415550150296,181.0453137686089,178.75931030020467,tadasana.mp4
184.2003687319391,185.9782103377586,192.084060986923,185.06257171892443,180.95905652701202,178.81027472474702,tadasana.mp4
184.194310629089,186.12579463171573,192.10724184878202,185.013533513126,180.869328145011,178.82948535749017,tadasana.mp4
184.05772300205868,186.52478978968819,192.1445071862636,184.78994765931355,180.82646016136664,178.83213533646358,tadasana.mp4
183.83577127096984,186.83218852097423,192.16454949505737,184.6108970159885,180.8101775876761,178.85310474690976,tadasana.mp4
